name, mean (ns), stddev (%), confidence (%)
rotatedata_mat.dim_1024x1024_rowidx1_0_rowidx2_1, 2686, 20.606886, 2.373959,
rotatedata_mat_rmaj.dim_1024x1024_rowidx1_0_rowidx2_1, 629, 1.877085, 0.216244,
rotatedata_mat.dim_1024x1024_rowidx1_0_rowidx2_100, 7068, 13.313529, 1.533748,
rotatedata_mat_rmaj.dim_1024x1024_rowidx1_0_rowidx2_100, 632, 6.743262, 0.776839,
rotatedata_mat.dim_1024x1024_rowidx1_0_rowidx2_500, 4799, 17.470603, 2.012652,
rotatedata_mat_rmaj.dim_1024x1024_rowidx1_0_rowidx2_500, 629, 0.949273, 0.109358,
rotatedata_mat.dim_1024x1024_rowidx1_0_rowidx2_1023, 6338, 20.816788, 2.398140,
rotatedata_mat_rmaj.dim_1024x1024_rowidx1_0_rowidx2_1023, 630, 3.785812, 0.436134,
rotatedata_mat.dim_1024x2048_rowidx1_0_rowidx2_1, 11407, 16.232654, 1.870038,
rotatedata_mat_rmaj.dim_1024x2048_rowidx1_0_rowidx2_1, 1247, 10.616685, 1.223066,
rotatedata_mat.dim_1024x2048_rowidx1_0_rowidx2_100, 16405, 20.465870, 2.357714,
rotatedata_mat_rmaj.dim_1024x2048_rowidx1_0_rowidx2_100, 2244, 20.550537, 2.367468,
rotatedata_mat.dim_1024x2048_rowidx1_0_rowidx2_500, 20305, 16.199056, 1.866167,
rotatedata_mat_rmaj.dim_1024x2048_rowidx1_0_rowidx2_500, 1167, 4.594776, 0.529328,
rotatedata_mat.dim_1024x2048_rowidx1_0_rowidx2_1023, 16513, 15.559066, 1.792439,
rotatedata_mat_rmaj.dim_1024x2048_rowidx1_0_rowidx2_1023, 1166, 2.415128, 0.278228,
rotatedata_mat.dim_1024x4096_rowidx1_0_rowidx2_1, 25133, 8.368004, 0.964013,
rotatedata_mat_rmaj.dim_1024x4096_rowidx1_0_rowidx2_1, 2485, 12.517925, 1.442093,
rotatedata_mat.dim_1024x4096_rowidx1_0_rowidx2_100, 49426, 14.631305, 1.685559,
rotatedata_mat_rmaj.dim_1024x4096_rowidx1_0_rowidx2_100, 2495, 20.134172, 2.319501,
rotatedata_mat.dim_1024x4096_rowidx1_0_rowidx2_500, 67728, 15.223779, 1.753813,
rotatedata_mat_rmaj.dim_1024x4096_rowidx1_0_rowidx2_500, 2472, 3.129047, 0.360473,
rotatedata_mat.dim_1024x4096_rowidx1_0_rowidx2_1023, 25907, 21.463655, 2.472661,
rotatedata_mat_rmaj.dim_1024x4096_rowidx1_0_rowidx2_1023, 2502, 18.997323, 2.188534,
rotatedata_mat.dim_1024x8192_rowidx1_0_rowidx2_1, 55838, 18.125010, 2.088041,
rotatedata_mat_rmaj.dim_1024x8192_rowidx1_0_rowidx2_1, 4971, 10.479596, 1.207273,
rotatedata_mat.dim_1024x8192_rowidx1_0_rowidx2_100, 144757, 6.931400, 0.798513,
rotatedata_mat_rmaj.dim_1024x8192_rowidx1_0_rowidx2_100, 4652, 10.404327, 1.198602,
rotatedata_mat.dim_1024x8192_rowidx1_0_rowidx2_500, 135684, 8.200186, 0.944680,
rotatedata_mat_rmaj.dim_1024x8192_rowidx1_0_rowidx2_500, 4957, 9.184458, 1.058070,
rotatedata_mat.dim_1024x8192_rowidx1_0_rowidx2_1023, 52591, 9.697648, 1.117191,
rotatedata_mat_rmaj.dim_1024x8192_rowidx1_0_rowidx2_1023, 4636, 8.036890, 0.925868,
