name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_2048x1024, 121684460, 1.732048, 1.410931,
fwht_mat_v3.dim_2048x1024, 176654529, 6.808507, 5.546228,
fwht_mat_v3_prealloc.dim_2048x1024, 175708779, 2.689648, 2.190994,
fwht_mat_rmaj.dim_2048x1024, 12008355, 4.678846, 3.811401,
fwht_mat_rmaj_v2.dim_2048x1024, 9143624, 11.990555, 9.312982,
fwht_mat_rmaj_v3.dim_2048x1024, 9615798, 22.506403, 6.325754,
fwht_mat_rmaj_v31.dim_2048x1024, 9907257, 27.214573, 9.050483,
fwht_mat_rmaj_v4.dim_2048x1024, 8095020, 20.258510, 5.500879,
fwht_mat_rmaj_v41.dim_2048x1024, 7942851, 18.354982, 9.272848,
fwht_mat_rmaj_v5.dim_2048x1024, 7587519, 16.057827, 8.819040,
fwht_fftw_measure_mat.dim_2048x1024, 14637638, 0.758215, 0.617644,
fwht_fftw_estimate_mat.dim_2048x1024, 14902860, 4.661090, 3.796937,
